loc_id,loc_label,id,wikidata_id,worldcat_id,viaf_id
http://id.loc.gov/authorities/names/no2015147765,Orrum,NCG11277,,,http://viaf.org/viaf/sourceID/LC%7Cno2015147765#skos:Concept
http://id.loc.gov/authorities/names/n81090060,Landis,NCG08451,http://www.wikidata.org/entity/Q2023656,http://id.worldcat.org/fast/1214684,http://viaf.org/viaf/sourceID/LC%7Cn++81090060#skos:Concept
http://id.loc.gov/authorities/names/n93049423,Long Island,NCG09235,,http://id.worldcat.org/fast/1265113,http://viaf.org/viaf/sourceID/LC%7Cn++93049423#skos:Concept
http://id.loc.gov/authorities/names/n84055389,Currituck,NCG03895,,http://id.worldcat.org/fast/1229622,http://viaf.org/viaf/sourceID/LC%7Cn++84055389#skos:Concept
http://id.loc.gov/authorities/names/n83028753,Coats,NCG03252,http://www.wikidata.org/entity/Q2029654,http://id.worldcat.org/fast/1224188,http://viaf.org/viaf/sourceID/LC%7Cn++83028753#skos:Concept
http://id.loc.gov/authorities/names/n88080440,Cerro Gordo,NCG02853,http://www.wikidata.org/entity/Q1055851,http://id.worldcat.org/fast/1247816,http://viaf.org/viaf/sourceID/LC%7Cn++88080440#skos:Concept
http://id.loc.gov/authorities/names/no2009127821,Bat Cave,NCG00707,,,http://viaf.org/viaf/sourceID/LC%7Cno2009127821#skos:Concept
http://id.loc.gov/authorities/names/n83226480,Four Oaks,NCG05494,http://www.wikidata.org/entity/Q1439972,http://id.worldcat.org/fast/1226899,http://viaf.org/viaf/sourceID/LC%7Cn++83226480#skos:Concept
http://id.loc.gov/authorities/names/n84055388,Columbia,NCG03383,http://www.wikidata.org/entity/Q2028731,http://id.worldcat.org/fast/1229621,http://viaf.org/viaf/sourceID/LC%7Cn++84055388#skos:Concept
http://id.loc.gov/authorities/names/no2008182065,Penland,NCG11632,,http://id.worldcat.org/fast/1877940,http://viaf.org/viaf/sourceID/LC%7Cno2008182065#skos:Concept
http://id.loc.gov/authorities/names/n93074593,Fletcher,NCG05336,http://www.wikidata.org/entity/Q653837,http://id.worldcat.org/fast/1266266,http://viaf.org/viaf/sourceID/LC%7Cn++93074593#skos:Concept
http://id.loc.gov/authorities/names/no2014078294,Edgemont,NCG04762,,,http://viaf.org/viaf/sourceID/LC%7Cno2014078294#skos:Concept
http://id.loc.gov/authorities/names/n92006529,Henrietta,NCG06870,,http://id.worldcat.org/fast/1260828,http://viaf.org/viaf/sourceID/LC%7Cn++92006529#skos:Concept
http://id.loc.gov/authorities/names/n93002042,Fleetwood,NCG05331,,http://id.worldcat.org/fast/1263879,http://viaf.org/viaf/sourceID/LC%7Cn++93002042#skos:Concept
http://id.loc.gov/authorities/names/n82074535,Elizabethtown,NCG04834,http://www.wikidata.org/entity/Q2026498,http://id.worldcat.org/fast/1220144,http://viaf.org/viaf/sourceID/LC%7Cn++82074535#skos:Concept
http://id.loc.gov/authorities/names/n88080441,Bolton,NCG01619,http://www.wikidata.org/entity/Q2024112,http://id.worldcat.org/fast/1247597,http://viaf.org/viaf/sourceID/LC%7Cn++88080441#skos:Concept
http://id.loc.gov/authorities/names/n82084063,Creswell,NCG03775,http://www.wikidata.org/entity/Q2025046,http://id.worldcat.org/fast/1220548,http://viaf.org/viaf/sourceID/LC%7Cn++82084063#skos:Concept
http://id.loc.gov/authorities/names/n83030450,Stantonsburg,NCG14527,http://www.wikidata.org/entity/Q2022540,http://id.worldcat.org/fast/1224406,http://viaf.org/viaf/sourceID/LC%7Cn++83030450#skos:Concept
http://id.loc.gov/authorities/names/n83028752,Jamestown,NCG07783,http://www.wikidata.org/entity/Q2026580,http://id.worldcat.org/fast/1224187,http://viaf.org/viaf/sourceID/LC%7Cn++83028752#skos:Concept
http://id.loc.gov/authorities/names/n81132541,Rutherfordton,NCG13233,http://www.wikidata.org/entity/Q2026051,http://id.worldcat.org/fast/1216545,http://viaf.org/viaf/sourceID/LC%7Cn++81132541#skos:Concept
http://id.loc.gov/authorities/names/n84136600,Powellsville,NCG12205,http://www.wikidata.org/entity/Q2028776,http://id.worldcat.org/fast/1229668,http://viaf.org/viaf/sourceID/LC%7Cn++84136600#skos:Concept
http://id.loc.gov/authorities/names/n82079180,Blowing Rock,NCG01533,http://www.wikidata.org/entity/Q2023662,http://id.worldcat.org/fast/1348226|http://id.worldcat.org/fast/1220361,http://viaf.org/viaf/sourceID/LC%7Cn++82079180#skos:Concept
http://id.loc.gov/authorities/names/n82018424,Currituck County,NCG03898,http://www.wikidata.org/entity/Q511761,http://id.worldcat.org/fast/1218115,http://viaf.org/viaf/sourceID/LC%7Cn++82018424#skos:Concept
http://id.loc.gov/authorities/names/n84136624,Walnut Cove,NCG15829,http://www.wikidata.org/entity/Q2022254,http://id.worldcat.org/fast/1229940,http://viaf.org/viaf/sourceID/LC%7Cn++84136624#skos:Concept
